0,42,10710,10710,8830,2637,783,0,157,79,799,2870,9266,10710,10710,10710,10525,4963,2468,4468,9153,9402,8897,4080,2530,5290,10396,10710,10710,9010,2895,3763,8406,10659,10710,10506,8126,3498,3037,8720,10710,10665,6557,2593,6583,10624,10710,10710,10710,10452,6153,2511,6302,10665,10239,3825,3203,9806,10710,10710,10710,10710,10710,9549,3012,4229,10349,6071,487,2589,10710,10710,10710,10710,10710,10710,10710,3081,621,5874,6361,2577,8836,10710,10710,10710,10710,10710,10710,10710,8048,2469,6493,6029,2591,9080,10710,10710,10710,10710,10710,10710,10710,8879,2579,5977,5100,2235,9538,10710,10710,10710,10710,10710,10710,10710,9558,2218,5114,6081,2644,9370,10710,10710,10710,10710,10710,10710,10710,8938,2589,6016,6540,2583,8873,10710,10710,10710,10710,10710,10710,10710,8201,2658,6672,6225,499,2682,10598,10710,10710,10710,10710,10710,10439,2790,567,5818,10185,3163,3177,9571,10710,10710,10710,10710,10710,9431,2971,3733,10384,10645,5927,2617,6061,10564,10710,10710,10710,10478,6435,2651,5584,10660,10710,8692,2832,3571,8271,10419,10648,10470,8355,3651,2944,8100,10710,10710,10269,4420,2665,4373,8686,9211,8735,4749,2554,4668,10467,10710,10710,10710,9003,2399,813,204,78,152,753,2530,8964,10710,10710
2,24,6120,5145,1682,160,68,0,4053,0,46,114,1390,5007,6120,5965,3950,654,1506,3793,5279,5895,5418,4295,1890,566,2712,5754,5686,2142,830,3119,5351,5998,6120,6069,5695,4102,1223,1496,5560,5513,1021,1462,4741,5948,6120,6120,6120,6120,5488,2243,761,5464,5716,2487,3521,5775,6120,6120,6120,6120,6120,6120,3207,551,5434,6037,5386,5630,6120,6120,6120,6120,6120,6120,5950,2653,385,5086,6120,6120,6120,6120,6120,6120,6120,6120,6120,5375,1940,764,5469,6120,6120,6120,6120,6120,6120,6120,6120,5900,4117,1240,1647,5576,6120,6120,6120,6120,6120,6120,6120,4886,1619,396,420,2724,5753,6120,6120,6120,6120,6120,5300,5537,3236,730,1810,4662,5978,6120,6120,6120,6120,6120,5828,3240,5024,1215,1098,3310,5636,6120,6120,6120,6120,6120,6120,3404,537,4196,477,1937,5001,6120,6120,6120,6120,6120,6120,4765,1699,397,4671,1831,5015,6120,6120,6120,6120,6120,6120,5554,2883,766,1495,5156,3869,6120,6120,6120,6120,6120,6120,5990,4355,1428,556,3573,5656,5725,6047,6047,6047,6047,6111,6110,5505,2708,271,1272,4008,5925,5335,5335,5335,5335,5335,6033,5289,401,0,0,0,0,4049,0,0,0,0,0,4923
3,13,3315,2830,1543,184,589,0,1267,0,592,184,1601,2968,3315,3190,2106,588,938,2036,2670,3043,2750,1950,838,427,2559,3315,3131,1896,619,1816,2877,3162,3315,3213,2897,1575,433,2117,3227,3240,2597,1773,2485,3315,3315,3315,3315,3315,2189,692,2006,3187,3288,3006,2474,2803,3315,3315,3315,3315,3315,2387,801,2006,3187,3315,3315,3315,3315,3315,3315,3315,3315,3315,1569,389,1750,3140,3315,3315,3315,3315,3315,3315,3315,2592,1958,799,1049,2699,3313,3315,3315,3315,3315,3315,2870,2893,1470,1233,235,1286,2927,3315,3315,3315,3315,3315,3315,2336,1945,393,745,195,1190,2860,3315,3315,3315,3315,3315,3315,3176,2917,2307,2134,1059,992,2028,3153,3315,3315,3315,3315,3315,3315,3315,3315,2819,2013,594,1543,3070,3315,3315,3315,3315,3315,3315,3315,3315,3315,2536,599,382,2829,3220,2462,2770,3315,3315,3315,3315,3315,3315,3315,1162,362,2954,3106,1468,2003,2868,3315,3315,3315,3315,3315,2814,959,953,3004,2950,651,735,2252,3087,3315,3315,3256,3087,1906,587,1625,3116,3065,1590,452,1379,2528,2969,3096,2767,2488,1015,379,2406,3290,3211,2258,525,0,500,0,1267,0,500,0,1080,2820,3315
4,41,10455,10455,10455,10455,10455,10455,10455,10455,8244,4953,2846,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,7468,1971,4777,10455,10455,10455,10455,10455,10455,10455,10455,10455,8272,2972,1461,4777,10455,10455,10455,10455,10455,10455,10455,10455,8756,5858,1469,1461,4777,10455,10455,10455,10455,10455,10455,10455,10455,7941,3515,1461,1461,4777,10455,10455,10455,10455,10455,10455,10455,8973,4803,1779,3081,1561,4625,10455,10455,10455,10455,10455,10455,9356,6393,1501,3433,6078,2071,4777,10455,10455,10455,10455,10455,10455,8161,4352,2857,5619,9945,2773,4777,10455,10455,10455,10455,10455,8267,1561,838,3835,8950,9945,1872,3664,10455,10455,10455,10455,9655,3448,1547,5731,10307,10455,9945,2773,4777,10455,10455,10455,10455,5428,1570,2695,8619,10455,10455,9945,2773,4777,10455,10455,10455,8813,3209,1563,7061,10455,10455,10455,9945,2219,4625,10187,10455,9619,5136,1607,2273,8541,9171,9171,9171,7459,1885,4041,8205,9233,6810,1636,1461,1773,5409,6011,6011,6011,3410,1461,2256,4970,6896,5705,3325,3325,3325,3325,3325,3325,3325,2836,1665,1684,2992,5506,10050,9819,9819,9819,9819,9819,9819,9819,7016,2136,2144,8486,10050,10455,10455,10455,10455,10455,10455,10455,10455,9690,1062,2846,10455,10455
5,34,8670,8670,8670,8670,4537,160,254,56,56,56,56,424,7871,8670,8670,8670,8297,4658,1080,4858,8009,8029,8029,8029,8083,8636,8670,8670,8670,7668,2989,1743,6428,8670,8670,8670,8670,8670,8670,8670,8670,8670,7125,1744,2509,7436,8670,8670,8670,8670,8670,8670,8670,8670,8605,5870,1101,2858,7759,8670,8670,8670,8670,8670,8670,8670,8670,8212,4439,638,2183,4938,5260,5560,6646,8436,8670,8670,8670,8670,7852,2993,900,2175,2607,1476,1552,4154,6366,8502,8670,8670,8670,7023,2765,2737,3828,3784,3035,2107,803,3406,7509,8660,8670,8670,6275,3131,6523,8670,8670,7955,4316,1209,148,777,7786,8670,8670,8670,8670,8670,8670,8670,8670,8670,8202,2900,713,7494,8670,8670,8670,8670,8670,8670,8670,8670,8670,8670,4670,897,7010,8670,8670,8670,8670,8670,8670,8670,8670,8670,8670,4586,853,6868,8662,8546,8572,8670,8670,8670,8670,8670,8670,8403,3588,716,6925,8518,6367,6958,8670,8670,8670,8670,8670,8610,7128,2239,1205,7428,8098,2353,3289,7617,8510,8670,8670,8635,7835,4215,903,2952,8396,7007,1020,810,3759,7343,8130,8196,7769,5100,1197,1124,6051,8625,8468,3806,173,20,0,82,336,28,20,450,3897,8287,8670
6,12,3060,3060,3060,3060,3060,2812,2942,1498,42,457,1977,3060,3060,3060,3060,3060,3060,3060,2812,2450,1144,521,2015,3017,3060,3060,3060,3060,3060,3060,2879,1825,2042,537,1504,2833,3060,3060,3060,3060,3060,3060,2926,2199,1224,1698,742,2156,3060,3060,3060,3060,3060,3060,3060,2604,1559,810,1629,1380,2797,3060,3060,3060,3060,3060,3060,2924,1631,442,619,1800,2117,3060,3060,3060,3060,3060,3060,3009,2451,971,342,860,2196,1724,1792,2441,2845,3009,3060,3060,2880,1719,512,198,509,1796,1050,1013,1455,2329,2928,3060,2945,1738,353,194,538,1201,1862,1232,591,323,555,1473,2908,2893,1224,418,1493,2602,3060,3060,3060,2564,1646,616,1090,2855,2840,757,739,2372,3060,3060,3060,3060,3060,2394,993,904,2827,2659,256,1022,3060,3060,3060,3060,3060,3060,2890,1068,260,2659,2761,293,1155,2992,3060,3060,3060,3060,3060,3060,1330,295,2761,2819,550,843,2566,3024,3060,3060,3060,3060,2544,840,802,2821,2959,1539,459,1690,2704,2980,3060,2987,2719,1530,404,1518,2921,3022,2389,480,622,1825,2445,2888,2510,1698,514,480,2209,3008,3060,2912,1629,0,0,0,1260,0,0,46,1458,2830,3060
7,33,1749,106,106,106,106,106,106,106,106,14,0,0,1836,7716,7632,7632,7632,7632,7632,7632,7632,7632,3622,1502,3512,8043,8415,8415,8415,8415,8415,8415,8415,8415,6635,2078,2385,5978,8415,8415,8415,8415,8415,8415,8415,8415,7923,4147,1502,3917,7668,8415,8415,8415,8415,8415,8415,8415,8415,6408,2384,2697,6563,8415,8415,8415,8415,8415,8415,8415,8415,7580,3697,1609,4394,8223,8415,8415,8415,8415,8415,8415,8415,8344,5664,1664,2660,6312,8415,8415,8415,8415,8415,8415,8415,8415,7681,3798,1929,4978,8415,8415,8415,8415,8415,8415,8415,8415,5507,754,56,1492,7200,8415,8415,8415,8415,8415,8415,8415,6937,3117,1629,4678,7960,8415,8415,8415,8415,8415,8415,8415,8415,5083,2285,3026,6931,8415,8415,8415,8415,8415,8415,8415,8415,6967,3176,1637,5382,7993,8415,8415,8415,8415,8415,8415,8415,8056,4653,1804,3181,7312,8415,8415,8415,8415,8415,8415,8415,8415,6795,2925,2138,5641,8415,8415,8415,8415,8415,8415,8415,8415,7874,4674,1556,3672,7478,8415,8415,8415,8415,8415,8415,8415,8415,6062,2943,2034,5957,8415,8415,8415,8415,8415,8415,8415,8415,8415,2517,411,3882,8013,8415,8415,8415,8415,8415,8415,8415,8415,8415
8,6,1530,1344,796,57,249,0,506,0,263,68,1017,1530,1530,1478,1084,262,276,836,1264,1368,1170,777,276,423,1271,1530,1434,850,200,637,1308,1530,1530,1479,1276,578,205,1066,1486,1406,696,318,918,1530,1530,1530,1530,1530,845,210,990,1459,1406,696,517,1085,1530,1530,1530,1530,1530,1011,374,875,1438,1248,541,228,592,1377,1530,1530,1530,1377,441,73,560,1416,1478,1057,365,450,1023,1420,1530,1420,1023,386,287,1215,1530,1530,1334,671,399,583,821,1207,814,583,399,671,1342,1530,1466,1208,686,189,363,114,600,114,359,189,760,1366,1530,1461,1092,577,484,770,876,1232,862,747,355,580,1190,1474,1436,892,368,614,1207,1530,1530,1530,1132,468,212,868,1453,1169,140,308,1004,1530,1530,1530,1530,1530,874,167,20,1164,1374,359,729,1403,1530,1530,1530,1530,1530,1530,584,134,1362,1382,400,575,1219,1530,1530,1530,1530,1530,1168,370,366,1380,1414,593,312,897,1416,1530,1530,1471,1382,652,190,702,1438,1480,920,206,540,1095,1278,1399,1086,1028,295,238,1230,1530,1530,1246,433,46,252,0,506,0,252,46,665,1432,1530
9,6,1530,1384,627,46,0,0,762,0,0,92,627,1302,1530,1468,882,208,426,918,1300,1411,1397,990,426,208,704,1430,1402,423,288,910,1344,1479,1530,1530,1376,910,288,423,1397,1382,228,423,1273,1530,1530,1530,1530,1530,1219,559,304,1387,1373,145,679,1530,1530,1530,1530,1530,1530,1403,803,322,1385,1299,126,717,1530,1530,1530,1530,1530,1530,1530,708,126,1299,1373,190,724,1392,1530,1530,1530,1530,1530,1392,724,357,1386,1406,313,338,1124,1435,1530,1530,1530,1435,1133,345,506,1421,1387,576,130,150,335,406,1121,451,335,150,175,821,1411,1530,1480,1098,541,253,112,949,176,112,112,804,1455,1530,1530,1530,1448,981,823,792,1088,550,112,340,1226,1530,1530,1530,1530,1530,1530,1530,1065,959,275,121,737,1443,1530,1530,1530,1530,1530,1530,1319,486,944,335,778,1394,1530,1530,1530,1530,1530,1530,1492,827,249,942,467,1092,1530,1530,1530,1530,1530,1530,1530,1331,430,190,1100,807,1530,1530,1530,1530,1530,1530,1530,1486,811,112,637,1345,1339,1530,1530,1530,1530,1530,1530,1530,835,123,0,865,1530,1530,1530,1530,1530,1530,1530
E,2,190,0,0,244,249,0,241,0,249,244,0,0,190,361,0,197,467,460,417,467,417,460,467,417,417,491,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,203,509,434,434,509,434,434,509,434,434,493,361,0,102,484,255,234,483,234,255,484,234,247,421,57,0,0,250,252,0,248,0,252,250,0,126,415,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,257,510,510,510,510,510,510,510,510,510,510,361,0,197,467,460,417,467,417,460,467,417,417,491,190,0,0,244,249,0,241,0,249,244,0,0,190
N,28,354,6027,7140,7140,7140,7140,6172,7140,7140,7140,7140,5494,595,616,4496,5967,7140,7140,7098,6362,7034,7140,7140,7140,5846,841,737,3496,4909,5762,7140,7018,6306,6918,7140,7140,7140,5737,1106,901,3282,4178,4458,6060,6839,6291,6818,7140,7140,7140,5650,1235,1055,3774,4340,3639,3717,6681,6291,6642,7140,7140,7099,5516,1408,1140,4206,5046,3857,1371,5329,6139,6525,7140,7140,7019,5076,1310,1217,5712,6667,6598,2029,4835,5123,6437,7069,7140,6860,5677,1497,1217,5863,6610,7077,2618,4233,4582,6140,7019,7140,6724,5755,1497,1126,4632,6148,7054,3180,1965,1392,1998,3204,7054,6262,4630,1406,1217,6328,6374,6823,6579,6527,4825,4265,1911,6851,6533,6264,1497,1217,6329,6585,6719,6441,6943,6206,5419,981,5863,6260,6257,1497,1145,5777,6696,6472,6396,7006,7008,6037,779,2998,3973,4365,1315,1217,6329,6834,6291,6386,7055,7140,7110,3134,2906,3883,4297,1320,1217,6329,7056,6291,6474,7140,7140,7140,5598,3789,4007,4074,1296,1217,6329,7123,6313,6603,7140,7140,7140,6676,5117,4876,4221,1296,1217,6329,7140,6407,6854,7140,7140,7140,6774,6473,6097,5153,1340,1102,5723,7140,6221,6650,7140,7140,7140,6884,6241,7140,6463,2005
S,3,765,765,574,57,0,0,253,0,0,0,222,667,765,765,691,330,77,278,544,690,638,532,238,113,504,740,765,647,126,152,414,714,765,765,708,499,400,604,752,754,574,77,269,619,765,765,765,765,670,643,724,765,733,459,77,303,695,765,765,765,765,765,765,765,765,731,420,81,20,76,530,765,765,765,765,765,765,765,765,761,604,216,77,179,547,345,545,765,765,765,765,765,765,691,459,241,77,430,297,359,545,696,765,765,765,765,765,765,558,288,406,200,57,132,235,684,765,765,765,765,765,765,765,765,646,394,177,77,398,741,765,765,765,765,765,765,765,765,641,423,124,244,716,765,765,765,765,765,765,765,765,765,595,70,20,587,718,252,375,676,765,765,765,765,765,638,232,77,703,709,158,191,502,765,765,765,765,765,543,162,193,712,725,356,133,357,668,765,765,765,674,378,114,334,731,740,504,113,180,401,652,721,652,468,135,113,469,751,765,667,242,0,0,0,253,0,0,46,222,667,765
W,20,486,2881,5100,5100,5100,4738,748,5100,5100,5100,5100,2911,571,2369,2667,5100,5100,5100,4491,1498,4570,5100,5100,5100,2741,2562,3158,1775,5100,5100,5100,3709,1333,3912,5100,5100,5026,2088,3225,3927,1275,5087,5100,5100,3293,1300,3313,5100,5100,4920,1636,3822,4530,1071,4576,5100,5029,2558,1300,2510,5100,5100,4673,1208,4396,4961,1343,4003,5100,4900,1853,1922,1835,5100,5100,3889,1419,4961,5100,1859,3157,5100,4808,1425,3041,1311,4848,5100,3168,2159,5100,5100,2844,2455,5100,4427,1327,4545,1317,4640,5063,2698,2834,5100,5100,2729,312,4339,1155,743,5040,539,1431,4462,372,2217,5100,5100,4885,1454,3517,1966,3541,5100,3577,1947,3874,1659,4905,5100,5100,5043,2213,2464,1457,4204,5100,4498,1475,3164,2145,4986,5100,5100,5100,2669,1486,1314,4755,5100,4848,1282,1738,2820,5100,5100,5100,5100,3515,829,1567,5008,5100,5008,1781,911,3363,5100,5100,5100,5100,4437,843,2413,5100,5100,5100,2488,904,4146,5100,5100,5100,5100,4723,1020,3119,5100,5100,5100,2866,1182,4767,5100,5100,5100,5100,5021,1757,3789,5100,5100,5100,3770,1716,4942,5100,5100,5100,5100,5100,672,4319,5100,5100,5100,4300,876,5100,5100,5100
